timestamp,asin,title,price,original_price,rating,review_count,image_url,product_url,best_seller,delivery_info,page_number,scraped_successfully
2025-09-02 13:54:00,B0CRKXDX83,"Dell G-series-15-5530-laptop - 15.6-inch FHD, Intel Core i5-13450HX, 16GB DDR5 RAM, 1TB SSD, NVIDIA GeForce RTX 3050, Orange Backlit Keyboard & G-Key, Windows 11 Home, Dark Shadow Gray, 2.65 Kg","76,962","₹1,05,398",4.0,"1,241",https://m.media-amazon.com/images/I/61LOOMpEgxL._AC_UY218_.jpg,https://www.amazon.in/dp/B0CRKXDX83?th=1,NO,,1,YES
2025-09-02 13:54:03,B0FG2RJ9NC,"Dell 15 13th Gen Thin & Light Laptop, Intel Core i3-1305U, 15.6"" FHD 120Hz 250 nits Narrow Border Display, 16GB DDR4 RAM, 512GB, Intel UHD Graphics, Windows 11 + Office H&S 2024, Carbon Black, 1.66Kg","40,990","₹54,479",3.8,27,https://m.media-amazon.com/images/I/61SYJmpvfIL._AC_UY218_.jpg,https://www.amazon.in/dp/B0FG2RJ9NC?th=1,NO,,1,YES
2025-09-02 13:54:06,B0D3HG5CMG,"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop","30,800","₹46,990",3.6,154,https://m.media-amazon.com/images/I/61SHFVKs+AL._AC_UY218_.jpg,https://www.amazon.in/dp/B0D3HG5CMG?th=1,YES,,1,YES
